time real imag
2034 -0.7614583611231244 -0.7614583611231244
2035 -0.6851274801161518 -0.6851274801161518
2036 -0.6003969741527806 -0.6003969741527806
2037 -0.5083056345428477 -0.5083056345428477
2038 -0.4099824960089016 -0.4099824960089016
2039 -0.3066329947832115 -0.3066329947832115
2040 -0.1995241900261298 -0.1995241900261298
2041 -0.08996922975115158 -0.08996922975115158
2042 0.020688748297071038 0.020688748297071038
2043 0.13109308343719636 0.13109308343719636
2044 0.2398902246357167 0.2398902246357167
2045 0.3457463249679378 0.3457463249679378
2046 0.4473635945072255 0.4473635945072255
2047 0.5434962111577519 0.5434962111577519
2048 0.6329655943642268 0.6329655943642268
2049 0.7146748544443083 0.7146748544443083
2050 0.7876222403954055 0.7876222403954055
2051 0.8509134213063573 0.8509134213063573
2052 0.9037724508049383 0.9037724508049383
2053 0.9455512801174322 0.9455512801174322
2054 0.9757377031106259 0.9757377031106259
2055 0.9939616359106603 0.9939616359106603
2056 0.9999996541108563 0.9999996541108563
2057 0.9937777319425339 0.9937777319425339
2058 0.9753721498268358 0.9753721498268358
2059 0.9450085591810079 0.9450085591810079
2060 0.903059215944486 0.903059215944486
2061 0.8500384167417445 0.8500384167417445
2062 0.7865961936341569 0.7865961936341569
2063 0.7135103447628681 0.7135103447628681
2064 0.6316768985867642 0.6316768985867642
2065 0.5420991286231126 0.5420991286231126
2066 0.445875253369946 0.445875253369946
2067 0.34418497220787 0.34418497220787
2068 0.23827500235123975 0.23827500235123975
2069 0.12944379416407753 0.12944379416407753
2070 0.019025612230443936 0.019025612230443936
2071 -0.09162582265528917 -0.09162582265528917
2072 -0.20115393003047705 -0.20115393003047705
2073 -0.30821590136561616 -0.30821590136561616
2074 -0.41149916282234206 -0.41149916282234206
2075 -0.5097374673362007 -0.5097374673362007
2076 -0.6017264187353556 -0.6017264187353556
2077 -0.6863382375709565 -0.6863382375709565
2078 -0.7625355876308095 -0.7625355876308095
2079 -0.8293842936238593 -0.8293842936238593
2080 -0.8860647941174205 -0.8860647941174205
2081 -0.9318821893150152 -0.9318821893150152
2082 -0.9662747604894111 -0.9662747604894111
2083 -0.9888208566230321 -0.9888208566230321
2084 -0.9992440638261277 -0.9992440638261277
2085 -0.9974165941557439 -0.9974165941557439
2086 -0.9833608522888101 -0.9833608522888101
2087 -0.9572491608420467 -0.9572491608420467
2088 -0.9194016477062656 -0.9194016477062656
2089 -0.8702823212960791 -0.8702823212960791
2090 -0.8104933818325208 -0.8104933818325208
2091 -0.74076783840167 -0.74076783840167
2092 -0.661960522303793 -0.661960522303793
2093 -0.5750376068690584 -0.5750376068690584
2094 -0.4810647622259827 -0.4810647622259827
2095 -0.38119409024460177 -0.38119409024460177
2096 -0.27664999983150446 -0.27664999983150446
2097 -0.1687141957443925 -0.1687141957443925
2098 -0.05870996496265755 -0.05870996496265755
2099 0.052014046737550355 0.052014046737550355
2100 0.1621003691058322 0.1621003691058322
2101 0.270199349927734 0.270199349927734
2102 0.3749857016861341 0.3749857016861341
2103 0.4751747495126564 0.4751747495126564
2104 0.5695381812304857 0.5695381812304857
2105 0.6569191063936848 0.6569191063936848
2106 0.7362462396998357 0.7362462396998357
2107 0.8065470348885891 0.8065470348885891
2108 0.8669596081049913 0.8669596081049913
2109 0.9167433045476849 0.9167433045476849
2110 0.9552877788558802 0.9552877788558802
2111 0.9821204779095377 0.9821204779095377
2112 0.9969124343045581 0.9969124343045581
2113 0.9994822994748793 0.9994822994748793
2114 0.9897985670158616 0.9897985670158616
2115 0.9679799589510594 0.9679799589510594
2116 0.9342939702068054 0.9342939702068054
2117 0.8891535891391895 0.8891535891391895
2118 0.8331122343197418 0.8331122343197418
2119 0.766856969654386 0.766856969654386
2120 0.6912000810179469 0.6912000810179469
2121 0.6070691176743974 0.6070691176743974
2122 0.5154955205742833 0.5154955205742833
2123 0.4176019769457132 0.4176019769457132
2124 0.31458865621111237 0.31458865621111237
2125 0.20771849597671108 0.20771849597671108
2126 0.09830171848737732 0.09830171848737732
2127 -0.01232023262561915 -0.01232023262561915
2128 -0.12279113836905427 -0.12279113836905427
2129 -0.2317566315575684 -0.2317566315575684
2130 -0.3378808012804226 -0.3378808012804226
2131 -0.4398625710950993 -0.4398625710950993
2132 -0.5364516501525564 -0.5364516501525564
2133 -0.6264638616936333 -0.6264638616936333
2134 -0.7087956609907654 -0.7087956609907654
2135 -0.7824376647449779 -0.7824376647449779
2136 -0.8464870260693257 -0.8464870260693257
2137 -0.9001585033417566 -0.9001585033417566
2138 -0.9427940872238043 -0.9427940872238043
